customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,is_senior_citizen,avg_monthly_usage_gb,support_tickets_90d,churned
CUST000000,7,94.07,646.71,two-year,mailed-check,Fiber,no,no,0,80.6,2,1
CUST000001,55,51.88,2856.27,month-to-month,electronic-check,Fiber,yes,no,0,44.1,1,0
CUST000002,47,48.66,1960.96,one-year,credit-card,DSL,no,yes,0,127.4,0,0
CUST000003,32,81.49,2505.33,two-year,electronic-check,Fiber,no,no,1,67.5,1,0
CUST000004,31,94.71,2833.76,two-year,credit-card,None,yes,no,0,117.6,1,0
CUST000005,61,71.01,3944.75,one-year,bank-transfer,DSL,no,no,0,40.1,1,0
CUST000006,7,37.84,271.57,two-year,bank-transfer,DSL,no,no,0,57.3,2,0
CUST000007,50,35.99,1588.15,month-to-month,mailed-check,None,no,no,0,64.9,1,0
CUST000008,15,34.32,475.08,month-to-month,mailed-check,Fiber,yes,no,0,89.2,2,0
CUST000009,7,25.81,184.24,month-to-month,credit-card,Fiber,no,no,0,,0,1
CUST000010,38,72.74,2454.89,two-year,bank-transfer,Fiber,yes,yes,0,56.3,0,0
CUST000011,70,98.13,6967.16,two-year,credit-card,Fiber,yes,no,0,65.9,1,0
CUST000012,53,69.66,3196.57,month-to-month,mailed-check,None,yes,no,1,53.6,2,1
CUST000013,55,20.0,1042.63,month-to-month,electronic-check,None,no,yes,0,113.6,2,0
CUST000014,51,65.23,2877.84,month-to-month,electronic-check,DSL,yes,yes,1,39.0,2,0
CUST000015,56,65.93,3638.84,month-to-month,credit-card,Fiber,no,yes,0,94.9,1,0
CUST000016,37,122.4,4565.58,two-year,mailed-check,DSL,no,no,1,109.6,1,0
CUST000017,10,33.57,342.4,month-to-month,bank-transfer,Fiber,yes,yes,1,27.5,1,1
CUST000018,60,60.23,3780.95,one-year,mailed-check,Fiber,no,yes,0,59.5,1,0
CUST000019,32,112.65,3548.58,one-year,mailed-check,Fiber,no,yes,0,18.9,2,0
CUST000020,36,81.25,2936.15,month-to-month,bank-transfer,None,yes,no,0,36.4,2,0
CUST000021,27,84.08,2159.27,month-to-month,bank-transfer,Fiber,no,yes,1,127.0,2,1
CUST000022,13,72.86,978.01,two-year,credit-card,Fiber,no,yes,0,80.7,3,0
CUST000023,66,78.25,5054.76,one-year,electronic-check,Fiber,no,yes,0,38.5,3,0
CUST000024,56,89.44,5142.42,month-to-month,bank-transfer,Fiber,no,no,0,120.3,1,1
CUST000025,46,49.76,2053.4,month-to-month,electronic-check,DSL,no,yes,0,42.2,0,0
CUST000026,29,91.95,2531.48,two-year,credit-card,Fiber,no,no,0,64.5,2,0
