equipment_id,asset_type,manufacturer,plant_site,criticality,rated_power_kw,rated_rpm,operating_hours,runtime_since_overhaul_hours,last_maintenance_days_ago,maintenance_type_last,num_starts_30d,load_percent,ambient_temp_c,humidity_percent,vibration_rms_mm_s,vibration_peak_g,bearing_temp_c,motor_winding_temp_c,oil_temp_c,oil_pressure_bar,oil_particle_count_iso4406,suction_pressure_bar,discharge_pressure_bar,flow_rate_m3_h,current_draw_amps,power_factor,failure_within_30d
EQ-000000,motor,Flowserve,ROT-02,B,630,3000,58866,36841,72,corrective,16,62.4,29.2,51.8,2.59,0.65,59.1,61.5,56.1,3.16,52.0,2.29,12.23,370.7,749.7,0.894,0
EQ-000001,compressor,Flowserve,HOU-01,B,75,3000,59641,37148,526,predictive,52,70.5,45.0,62.9,6.66,2.17,82.8,89.2,78.1,3.04,45.0,2.27,9.79,42.9,115.4,0.99,0
EQ-000002,motor,Siemens,JUB-03,B,110,1800,9608,1127,425,predictive,8,84.9,21.4,50.3,2.35,0.76,47.4,61.9,40.3,3.79,50.0,1.47,6.56,83.1,184.9,0.933,0
EQ-000003,compressor,KSB,HOU-01,B,75,1500,17805,11013,168,preventive,43,63.5,25.3,21.8,4.88,1.25,54.7,64.7,49.0,3.62,53.0,1.83,11.2,63.7,98.3,0.769,0
EQ-000004,motor,Flowserve,SIN-04,C,400,3000,5846,3964,278,preventive,14,74.6,21.6,69.3,2.69,0.82,53.8,67.9,49.9,,37.0,2.36,8.96,236.4,567.1,0.878,0
EQ-000005,motor,Atlas-Copco,SIN-04,C,22,1500,35324,5095,150,preventive,10,62.8,36.3,54.1,1.97,0.43,65.3,71.8,61.9,3.31,35.0,1.81,8.31,5.0,20.5,0.861,0
EQ-000006,motor,Siemens,HOU-01,B,400,3600,19213,2879,254,preventive,12,80.4,26.5,54.7,3.24,0.96,58.5,67.8,50.5,4.4,32.0,1.41,7.31,231.7,611.1,0.894,0
EQ-000007,pump,Siemens,ROT-02,B,22,1800,41767,24781,431,corrective,13,77.7,26.4,59.2,3.55,0.97,60.3,71.1,52.6,2.97,41.0,1.69,11.27,16.5,27.7,0.863,0
EQ-000008,motor,Sulzer,JUB-03,C,110,1500,17294,3505,294,preventive,13,81.7,27.9,22.9,3.4,0.84,55.5,72.8,46.8,3.16,34.0,2.42,10.19,105.7,173.6,0.806,0
EQ-000009,motor,ABB,ROT-02,A,11,1500,16263,1930,441,preventive,13,74.2,25.8,55.2,2.9,0.73,57.0,69.3,54.1,4.48,,1.8,10.87,5.0,16.5,0.855,0
EQ-000010,motor,WEG,ROT-02,B,22,3000,51999,20567,226,preventive,15,64.8,23.4,84.5,3.58,0.85,53.6,66.8,42.7,2.82,38.0,2.19,10.84,28.8,38.1,0.904,0
EQ-000011,motor,Siemens,ROT-02,A,11,1500,15315,10983,297,preventive,9,84.0,32.6,46.2,3.41,1.22,66.4,76.5,62.2,3.61,54.0,1.88,8.79,24.9,33.4,0.859,0
EQ-000012,compressor,Atlas-Copco,HOU-01,B,45,3600,58908,9169,240,predictive,45,74.0,22.3,65.1,4.44,1.18,53.8,62.3,42.9,3.58,43.0,1.99,6.59,21.1,58.8,0.798,0
EQ-000013,compressor,WEG,HOU-01,A,160,1500,49751,48079,14,preventive,57,83.0,38.7,37.9,4.19,0.96,75.5,93.3,65.8,2.91,40.0,2.46,10.54,115.4,265.1,0.885,1
EQ-000014,motor,Flowserve,ROT-02,C,400,3000,46243,33502,29,corrective,8,60.4,22.0,62.0,2.59,0.73,48.8,52.6,39.1,3.92,51.0,2.06,12.35,243.0,456.5,0.814,0
EQ-000015,motor,Siemens,JUB-03,A,250,1800,59427,58445,33,preventive,11,61.4,23.0,60.6,3.89,0.8,60.4,67.9,58.2,3.88,54.0,2.18,9.95,140.4,288.5,0.902,0
EQ-000016,motor,Atlas-Copco,JUB-03,C,75,1500,5473,5169,377,preventive,14,77.3,31.7,69.0,3.24,0.93,68.6,75.1,66.1,3.33,54.0,1.8,9.31,46.9,111.6,0.812,0
EQ-000017,pump,Siemens,HOU-01,B,75,3600,43277,19987,331,preventive,14,76.7,32.7,41.4,5.62,1.62,68.8,77.5,67.4,4.26,41.0,2.16,9.29,53.2,98.2,0.847,0
EQ-000018,compressor,KSB,ANT-05,A,45,1500,78008,10971,385,preventive,57,62.7,26.6,81.3,5.29,1.64,60.2,73.7,52.7,4.26,51.0,1.87,10.83,22.9,59.8,0.99,0
EQ-000019,motor,Sulzer,HOU-01,A,45,3000,30029,21469,72,corrective,4,70.6,33.0,72.4,2.98,1.11,61.0,65.2,59.1,3.44,54.0,2.04,10.06,45.2,67.5,0.908,0
EQ-000020,pump,WEG,SIN-04,A,45,1500,52255,34782,232,none,7,85.2,19.7,56.8,5.39,1.51,55.0,69.1,49.4,4.09,52.0,1.37,9.43,29.2,76.0,0.834,1
EQ-000021,motor,Sulzer,JUB-03,C,11,3000,14609,11989,351,preventive,11,79.4,21.8,41.2,3.64,1.31,57.5,65.3,56.9,2.36,,2.1,6.36,5.0,2.8,0.856,0
EQ-000022,compressor,WEG,ANT-05,C,400,1500,36041,33457,63,none,46,64.4,32.0,61.0,5.46,1.36,69.6,83.5,64.0,4.15,37.0,2.13,6.97,247.2,478.6,0.847,0
EQ-000023,motor,Siemens,ANT-05,B,250,3000,57638,13052,202,corrective,15,73.6,31.4,44.0,3.34,1.11,66.3,81.0,63.6,4.48,56.0,2.97,13.01,157.4,348.2,0.878,0
EQ-000024,pump,Flowserve,HOU-01,C,11,1800,41146,23364,533,preventive,8,91.6,28.5,44.8,3.67,1.04,65.3,81.1,65.6,3.99,56.0,2.26,11.7,5.0,15.4,0.925,1
EQ-000025,motor,KSB,ROT-02,B,75,1800,8836,7766,306,preventive,9,79.2,36.5,14.5,2.88,0.75,70.3,85.3,63.6,3.23,37.0,2.48,12.37,12.8,108.7,0.916,0
EQ-000026,motor,ABB,HOU-01,C,11,3600,51395,26505,416,preventive,8,69.6,27.5,24.1,3.46,0.74,56.2,56.1,52.1,3.84,43.0,2.31,9.11,5.0,7.4,0.897,0
EQ-000027,motor,Atlas-Copco,SIN-04,B,11,1500,73444,26097,359,corrective,11,65.8,14.4,50.5,4.29,1.46,45.9,55.0,44.3,3.45,38.0,1.45,10.23,21.4,16.0,0.863,0
EQ-000028,motor,Flowserve,JUB-03,B,45,3000,5754,915,460,none,14,72.4,43.5,62.6,2.38,0.66,71.3,79.1,69.3,4.85,30.0,2.59,13.71,32.7,60.5,0.773,0
EQ-000029,pump,Siemens,ROT-02,B,400,3000,62218,9387,90,predictive,9,75.3,31.0,75.5,4.22,1.14,64.4,70.0,57.7,,35.0,1.68,9.08,253.8,565.4,0.904,0
EQ-000030,pump,ABB,ROT-02,A,160,3600,79825,69125,60,predictive,15,78.0,26.5,55.2,4.84,1.26,61.8,67.7,55.0,2.71,66.0,1.27,7.79,102.9,239.0,0.821,0
EQ-000031,pump,Flowserve,JUB-03,B,110,3600,45446,10822,401,preventive,9,101.9,31.0,65.6,3.85,1.45,71.9,86.7,64.0,,49.0,1.93,11.7,94.4,205.4,0.917,0
EQ-000032,pump,WEG,HOU-01,A,160,3000,80677,72458,271,corrective,12,68.1,22.5,82.2,6.78,1.98,62.3,76.5,52.3,4.78,46.0,2.16,6.87,109.1,203.7,0.895,1
EQ-000033,pump,Atlas-Copco,JUB-03,B,630,3600,25586,12049,276,none,15,58.4,36.0,51.6,2.26,0.66,64.6,66.0,60.0,3.13,39.0,1.72,8.84,381.1,697.4,0.905,0
EQ-000034,compressor,Sulzer,HOU-01,B,250,1800,27982,9230,296,preventive,45,87.6,23.4,49.5,5.13,1.38,58.7,72.6,54.8,3.36,54.0,2.33,11.09,151.2,419.7,0.874,0
EQ-000035,motor,ABB,SIN-04,B,11,3000,18842,17643,64,corrective,11,68.6,27.2,82.4,2.64,0.66,60.3,61.4,59.1,3.94,36.0,2.06,12.44,5.0,7.0,0.927,0
EQ-000036,compressor,Flowserve,ANT-05,B,110,1800,55378,34876,492,preventive,47,75.8,25.4,68.7,7.09,1.97,66.1,85.5,61.7,3.53,52.0,1.41,7.33,74.5,148.8,0.8,0
EQ-000037,pump,Siemens,HOU-01,B,75,3000,31402,6073,154,corrective,12,83.7,27.9,29.1,2.74,0.75,55.4,71.3,53.3,2.54,41.0,2.24,9.43,78.0,118.1,0.924,0
EQ-000038,motor,Siemens,HOU-01,A,400,1500,16068,8495,134,none,12,74.9,20.8,47.7,2.53,0.64,52.8,59.3,48.5,2.58,31.0,2.61,10.74,261.1,568.3,0.782,0
EQ-000039,motor,Atlas-Copco,ROT-02,A,22,1500,43137,12323,299,preventive,13,84.3,21.6,71.7,2.32,0.55,54.1,64.6,52.6,2.85,41.0,2.38,11.36,30.1,35.1,0.892,0
EQ-000040,compressor,Flowserve,HOU-01,C,250,1800,9804,4086,307,corrective,30,93.9,25.3,60.6,4.39,1.5,59.0,81.7,51.7,4.87,42.0,1.33,7.93,146.0,445.4,0.9,1
EQ-000041,motor,Flowserve,HOU-01,C,22,3000,50977,5851,198,predictive,16,80.3,25.5,63.6,4.47,1.26,65.1,82.7,56.1,2.9,46.0,2.09,10.4,14.4,30.1,0.88,0
EQ-000042,pump,KSB,HOU-01,C,45,3600,78202,30294,168,predictive,12,79.7,27.7,31.1,4.57,1.26,69.2,75.1,66.4,4.05,55.0,2.53,10.36,45.0,66.9,0.892,0
EQ-000043,motor,KSB,ROT-02,C,110,3000,35123,29835,49,none,15,93.6,25.1,,3.65,1.1,66.6,87.4,58.6,4.06,57.0,1.94,9.77,55.0,201.5,0.849,0
EQ-000044,pump,Flowserve,HOU-01,B,75,1800,72058,33193,20,corrective,17,69.6,22.1,42.6,4.48,1.16,52.2,61.5,48.7,3.49,46.0,1.64,9.03,54.1,95.2,0.875,0
EQ-000045,motor,KSB,ANT-05,B,400,3000,45305,9957,73,predictive,10,58.4,34.4,42.9,2.58,0.79,63.7,71.9,52.5,3.43,53.0,1.67,10.3,251.3,456.6,0.87,0
EQ-000046,motor,KSB,JUB-03,C,45,3600,45340,14778,90,none,11,76.3,24.3,56.2,1.6,0.34,54.6,66.9,50.7,3.01,45.0,1.38,5.99,47.1,60.8,0.945,0
EQ-000047,pump,ABB,HOU-01,B,22,3600,76472,36509,531,predictive,9,80.2,39.8,55.5,5.05,1.32,73.5,78.6,71.7,3.79,61.0,1.48,7.79,8.2,39.2,0.893,1
EQ-000048,motor,Atlas-Copco,JUB-03,B,400,1500,57124,7190,55,preventive,11,44.0,27.2,43.3,2.07,0.66,54.0,56.9,45.4,2.39,52.0,2.86,14.01,259.0,338.8,0.91,0
EQ-000049,pump,KSB,ROT-02,B,630,1800,7338,3657,89,preventive,14,90.3,30.8,65.0,2.82,0.94,65.9,79.2,67.0,2.91,49.0,1.5,7.15,352.6,1081.7,0.807,0
EQ-000050,pump,Siemens,HOU-01,B,110,1500,55724,6985,402,preventive,14,62.6,21.0,53.6,3.45,0.95,60.2,65.4,63.6,3.26,40.0,2.72,12.68,93.4,124.5,0.843,0
EQ-000051,compressor,Sulzer,HOU-01,B,250,3000,81823,63738,72,corrective,42,74.3,33.4,76.1,5.99,1.34,66.3,78.2,60.7,2.9,56.0,2.33,8.88,130.3,349.7,0.951,0
EQ-000052,pump,Atlas-Copco,HOU-01,B,160,3600,44664,34041,481,predictive,8,84.0,25.7,61.8,5.24,1.55,59.7,75.3,56.7,3.75,58.0,2.4,10.46,124.1,261.0,0.926,0
EQ-000053,motor,Atlas-Copco,ROT-02,B,110,3600,31467,17574,468,preventive,15,71.6,31.5,42.8,4.55,1.49,62.7,71.6,54.1,3.17,37.0,1.87,10.05,71.8,148.1,0.837,0
EQ-000054,motor,Siemens,ANT-05,C,250,1800,66450,22883,461,preventive,10,62.7,25.9,40.0,3.57,0.94,64.5,66.7,59.1,3.75,56.0,1.38,8.68,172.9,287.4,0.784,0
EQ-000055,motor,ABB,JUB-03,C,110,1800,25895,15371,350,preventive,15,76.0,28.5,65.8,4.0,1.14,63.6,73.8,60.8,2.67,46.0,1.8,10.13,68.1,166.7,0.885,0
EQ-000056,compressor,WEG,HOU-01,B,22,3000,13622,12264,179,predictive,47,100.6,26.8,38.6,4.3,1.32,61.0,84.2,59.7,4.81,35.0,2.33,10.46,22.2,31.7,0.869,0
EQ-000057,motor,ABB,SIN-04,C,110,1800,35771,27437,70,corrective,9,58.0,25.3,49.9,1.91,0.38,50.5,52.0,42.1,3.56,55.0,1.65,7.71,67.0,130.0,0.874,0
EQ-000058,motor,Atlas-Copco,ANT-05,B,400,1500,42145,38156,66,corrective,14,58.4,29.5,56.8,4.47,1.15,62.3,60.2,54.0,4.56,45.0,2.04,10.04,244.1,449.4,0.93,0
EQ-000059,motor,WEG,JUB-03,A,110,1800,83897,65422,517,preventive,11,63.4,36.0,79.4,5.89,1.81,75.1,91.2,68.9,2.87,50.0,2.4,10.52,77.6,132.6,0.865,1
EQ-000060,pump,ABB,HOU-01,A,250,3000,41194,29224,227,preventive,19,65.1,36.1,29.9,4.77,1.28,70.9,81.1,66.8,2.72,58.0,1.37,7.45,152.0,307.1,0.863,0
EQ-000061,motor,Atlas-Copco,ROT-02,B,250,1500,79959,46053,250,preventive,12,72.8,29.1,37.4,3.0,0.65,54.2,60.3,49.4,3.77,60.0,1.68,11.49,146.7,336.3,0.97,0
EQ-000062,motor,ABB,JUB-03,C,11,1500,21294,7703,1,preventive,15,98.4,27.9,74.5,2.0,0.55,63.9,77.2,60.2,3.86,43.0,2.08,13.67,5.0,6.6,0.85,0
EQ-000063,pump,KSB,JUB-03,A,11,3000,70284,62436,392,none,9,80.0,26.4,74.7,6.32,1.57,62.6,69.0,59.9,3.52,52.0,2.03,9.52,26.4,19.3,0.97,1
EQ-000064,pump,WEG,JUB-03,C,630,1500,56507,40651,83,corrective,12,66.5,31.3,81.8,4.82,1.38,66.5,83.0,67.4,3.9,62.0,1.43,8.42,391.2,795.4,0.873,0
EQ-000065,pump,WEG,SIN-04,A,75,3600,1268,1212,178,corrective,22,77.0,22.5,58.7,3.05,0.68,50.5,67.8,43.5,3.5,54.0,1.91,13.61,40.5,115.0,0.967,0
EQ-000066,compressor,KSB,HOU-01,B,22,1500,48840,40464,398,preventive,41,77.6,28.7,33.9,6.96,1.79,69.9,78.0,69.3,2.33,55.0,1.99,7.13,8.0,28.5,0.931,1
