loan_id,age,income_annual,employment_years,loan_amount,loan_term_months,credit_score,debt_to_income_ratio,home_ownership,loan_purpose,num_prior_loans,has_collateral,education_level,defaulted
L0000000,28,108800.0,3.9,16122.0,60,731,0.324,own,debt-consolidation,1,0,bachelor,0
L0000001,39,53331.0,8.1,4623.0,36,710,0.544,own,debt-consolidation,1,0,bachelor,0
L0000002,21,47449.0,18.4,48799.0,36,625,0.234,rent,credit-card,1,1,bachelor,0
L0000003,40,94933.0,1.9,16926.0,12,621,0.366,mortgage,credit-card,0,0,high-school,0
L0000004,55,51132.0,6.1,2715.0,24,774,0.338,own,debt-consolidation,3,0,master,1
L0000005,35,72038.0,7.1,59037.0,60,652,0.059,mortgage,debt-consolidation,3,0,phd,0
L0000006,62,60696.0,8.1,51307.0,12,810,0.176,rent,car,2,0,high-school,0
L0000007,60,69765.0,5.9,38049.0,36,599,0.194,rent,debt-consolidation,2,0,bachelor,1
L0000008,25,80554.0,1.2,36237.0,48,670,0.123,rent,debt-consolidation,0,0,master,0
L0000009,61,98184.0,2.4,14167.0,60,581,0.557,rent,debt-consolidation,0,0,master,0
L0000010,42,89165.0,7.9,26553.0,24,548,0.03,rent,debt-consolidation,3,0,bachelor,1
L0000011,28,106657.0,3.5,38096.0,12,640,0.304,rent,home-improvement,1,0,high-school,0
L0000012,56,49470.0,4.9,19418.0,24,738,0.236,mortgage,home-improvement,1,0,bachelor,0
L0000013,54,32204.0,1.2,41561.0,36,642,0.311,rent,credit-card,0,0,bachelor,0
L0000014,29,51604.0,3.6,39181.0,36,728,0.077,mortgage,other,2,0,bachelor,0
L0000015,33,202079.0,8.0,54250.0,48,625,0.178,mortgage,car,1,1,bachelor,0
L0000016,43,53129.0,3.0,7273.0,36,782,0.176,own,small-business,2,0,master,0
L0000017,32,23962.0,7.2,4405.0,36,629,0.052,rent,debt-consolidation,1,0,bachelor,0
L0000018,48,183864.0,3.8,2045.0,36,790,0.283,rent,credit-card,1,0,bachelor,0
L0000019,30,60768.0,7.7,58836.0,60,691,0.222,own,debt-consolidation,3,1,bachelor,0
L0000020,57,38202.0,5.6,37169.0,12,614,0.319,mortgage,credit-card,2,0,high-school,1
L0000021,31,32912.0,4.3,45755.0,36,627,0.547,mortgage,debt-consolidation,2,0,high-school,0
L0000022,24,59497.0,2.7,39536.0,48,714,0.492,own,debt-consolidation,1,0,high-school,0
L0000023,40,78358.0,7.6,15368.0,60,607,0.335,own,debt-consolidation,2,0,high-school,1
L0000024,32,75777.0,3.4,40712.0,36,706,0.091,rent,credit-card,0,0,high-school,1
L0000025,35,83824.0,2.0,40237.0,36,636,0.254,mortgage,credit-card,1,1,master,0
L0000026,41,28549.0,3.2,54774.0,48,611,0.33,mortgage,home-improvement,0,0,high-school,1
L0000027,31,32912.0,,22601.0,60,627,0.162,rent,debt-consolidation,2,0,high-school,0
