batch_id,machine_id,shift,operator_experience_years,temperature_c,pressure_psi,humidity_percent,raw_material_grade,machine_age_months,maintenance_days_ago,batch_size,defect_rate_percent
B000000,M08,afternoon,2.2,24.3,90.3,39.9,B,85,91,131,5.47
B000001,M04,afternoon,12.4,20.7,98.7,32.2,B,30,102,435,3.64
B000002,M08,night,2.7,24.5,115.8,33.4,B,82,3,129,4.69
B000003,M11,night,6.9,18.0,85.7,37.2,B,154,108,383,7.89
B000004,M04,afternoon,2.2,17.3,103.4,57.9,A,27,43,363,4.26
B000005,M09,night,0.8,20.5,103.6,32.8,B,140,101,538,7.02
B000006,M06,morning,3.6,9.9,88.4,46.6,A,143,72,452,6.8
B000007,M07,morning,7.4,25.5,97.7,59.0,A,136,4,938,3.03
B000008,M07,night,0.6,22.4,89.2,51.5,A,28,113,902,5.44
B000009,M06,afternoon,0.8,20.9,101.2,59.2,B,84,41,546,5.44
B000010,M08,night,7.8,26.0,98.6,39.1,A,166,15,86,5.58
B000011,M05,afternoon,7.4,23.9,118.1,51.3,C,52,116,829,8.72
B000012,M02,morning,4.5,27.3,90.8,56.5,B,90,41,690,5.85
B000013,M05,afternoon,1.2,29.9,97.9,54.4,B,150,64,790,5.03
B000014,M06,morning,1.7,23.7,95.5,53.9,B,104,59,905,7.28
B000015,M11,afternoon,2.2,18.4,116.3,33.1,B,64,92,446,7.38
B000016,M08,afternoon,8.2,25.6,94.1,51.7,C,22,35,510,7.86
B000017,M06,afternoon,9.1,18.4,89.3,49.9,B,100,37,277,3.54
B000018,M11,morning,6.0,18.2,90.7,43.5,A,89,113,118,4.99
B000019,M01,afternoon,4.7,20.5,,39.0,B,53,53,80,4.51
B000020,M09,night,2.7,27.8,93.0,49.5,C,57,20,727,8.06
B000021,M12,morning,3.3,25.8,89.7,35.1,A,176,45,102,4.97
B000022,M09,morning,2.4,26.4,100.2,40.7,B,111,48,884,5.65
B000023,M08,morning,1.1,22.6,84.4,54.4,A,127,95,258,3.7
B000024,M07,afternoon,5.6,24.8,106.9,55.4,C,12,14,539,6.46
B000025,M02,morning,3.6,25.0,100.5,49.8,B,173,17,883,5.84
B000026,M02,afternoon,2.4,18.6,119.5,40.4,C,57,71,234,7.69
B000027,M02,morning,3.2,24.9,105.6,33.9,A,172,55,150,3.69
B000028,M12,morning,7.8,22.0,104.4,37.2,A,170,6,417,2.87
B000029,M05,morning,5.3,20.0,124.1,57.9,A,38,106,834,3.25
B000030,M12,night,11.4,20.2,105.2,46.9,A,60,1,303,2.83
B000031,M08,morning,3.8,19.2,97.4,,A,131,103,484,4.64
B000032,M10,morning,20.6,20.6,89.6,46.6,A,90,74,666,3.59
B000033,M12,morning,8.2,22.0,117.4,51.8,A,84,97,663,3.15
B000034,M07,night,3.1,25.3,87.9,34.7,A,73,104,843,5.36
B000035,M01,afternoon,6.1,29.5,86.3,40.1,A,113,12,186,3.82
B000036,M10,night,2.0,24.8,86.4,51.5,B,119,72,973,5.75
B000037,M05,morning,6.1,22.6,91.0,47.4,A,84,69,804,2.33
B000038,M02,morning,5.7,12.0,100.5,56.1,B,103,51,977,4.4
B000039,M04,afternoon,1.8,34.1,96.9,52.5,B,11,38,135,5.69
B000040,M12,afternoon,0.9,18.5,106.3,37.3,A,69,76,781,5.67
B000041,M06,night,4.3,18.6,86.9,11.6,A,122,116,546,6.75
B000042,M07,morning,5.0,28.3,89.5,47.0,C,136,118,803,11.57
B000043,M10,night,2.1,16.5,101.8,34.5,A,88,69,147,5.39
B000044,M07,afternoon,9.8,23.9,88.4,50.1,C,121,57,515,7.22
